woocommerce_sku,product,ar_url
11325-01,Pulex raamwisser RVS,https://www.aukerauwerda.nl/pulex-raamwisser.html
100498,Slakkenborstel,https://www.aukerauwerda.nl/antislakkenborstel-100cm-set-a-631731.html
100917,Mini ragebol,https://www.aukerauwerda.nl/mini-ragebol-steel-80-cm-2272266.html
942238,Stofwisapparaat 55 cm,https://www.aukerauwerda.nl/stofwisapparaat-55-cm-2789239.html
202125,Mopkar incl. emmer en pers,https://www.aukerauwerda.nl/mopkar.html
